Ecuador,0
Canada,28
Bolivia,89
Hungary,139
Moldova,127
Israel,70
Venezuela,84
India,122
Mexico,48
United States,126
South Korea,67
Colombia,147
Slovenia,27
France,60
Slovakia,20
Australia,42
The Netherlands,64
Brasil,18
Philippines,122
Austria,53
Paraguay,156
San Marino,17
Belarus,3
Japan,1
Chile,57
Bulgaria,284
China,60
Turkey,78
New Zealand,4
Indonesia,28
Belgium,16
Montenegro,89
Ireland,151
Ukraine,3
Greece,11
Vietnam,51
Serbia,7
Portugal,60
Macedonia,56
Croatia,0
Peru,5
