Web Search interest: virtus pro
Worldwide Mar-Apr 2015

Interest over time
Day,virtus pro
2015-03-01,16
2015-03-02,21
2015-03-03,15
2015-03-04,17
2015-03-05,9
2015-03-06,11
2015-03-07,15
2015-03-08,12
2015-03-09,15
2015-03-10,19
2015-03-11,18
2015-03-12,37
2015-03-13,61
2015-03-14,100
2015-03-15,48
2015-03-16,23
2015-03-17,32
2015-03-18,22
2015-03-19,16
2015-03-20,19
2015-03-21,29
2015-03-22,29
2015-03-23,12
2015-03-24,14
2015-03-25,21
2015-03-26,12
2015-03-27,17
2015-03-28,27
2015-03-29,14
2015-03-30,11
2015-03-31,15
2015-04-01,16
2015-04-02,13
2015-04-03,15
2015-04-04,29
2015-04-05,18
2015-04-06,30
2015-04-07,15
2015-04-08,11
2015-04-09,14
2015-04-10,17
2015-04-11,21
2015-04-12,11
2015-04-13,9
2015-04-14,14
2015-04-15,11
2015-04-16,9
2015-04-17,8
2015-04-18,16
2015-04-19,19
2015-04-20,15
2015-04-21,11
2015-04-22,35
2015-04-23,25
2015-04-24,13
2015-04-25,15
2015-04-26,17
2015-04-27,10
2015-04-28,20
2015-04-29,18
2015-04-30,12


Top regions for virtus pro
Region,virtus pro
Poland,100
Russia,28


Top cities for virtus pro
Town/City,virtus pro
Warsaw (Poland),100



Top searches for virtus pro
fnatic,100



Rising searches for virtus pro
fnatic,+50%



