Web Search interest: strife
Worldwide Jan 2009 - Jul 2015

Interest over time
Week,strife
2009-01-04 - 2009-01-10,17
2009-01-11 - 2009-01-17,16
2009-01-18 - 2009-01-24,19
2009-01-25 - 2009-01-31,18
2009-02-01 - 2009-02-07,17
2009-02-08 - 2009-02-14,20
2009-02-15 - 2009-02-21,17
2009-02-22 - 2009-02-28,19
2009-03-01 - 2009-03-07,19
2009-03-08 - 2009-03-14,16
2009-03-15 - 2009-03-21,17
2009-03-22 - 2009-03-28,16
2009-03-29 - 2009-04-04,20
2009-04-05 - 2009-04-11,20
2009-04-12 - 2009-04-18,21
2009-04-19 - 2009-04-25,20
2009-04-26 - 2009-05-02,18
2009-05-03 - 2009-05-09,18
2009-05-10 - 2009-05-16,18
2009-05-17 - 2009-05-23,16
2009-05-24 - 2009-05-30,18
2009-05-31 - 2009-06-06,17
2009-06-07 - 2009-06-13,18
2009-06-14 - 2009-06-20,18
2009-06-21 - 2009-06-27,17
2009-06-28 - 2009-07-04,15
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,16
2009-07-19 - 2009-07-25,19
2009-07-26 - 2009-08-01,20
2009-08-02 - 2009-08-08,17
2009-08-09 - 2009-08-15,19
2009-08-16 - 2009-08-22,18
2009-08-23 - 2009-08-29,19
2009-08-30 - 2009-09-05,19
2009-09-06 - 2009-09-12,19
2009-09-13 - 2009-09-19,18
2009-09-20 - 2009-09-26,19
2009-09-27 - 2009-10-03,16
2009-10-04 - 2009-10-10,20
2009-10-11 - 2009-10-17,19
2009-10-18 - 2009-10-24,18
2009-10-25 - 2009-10-31,20
2009-11-01 - 2009-11-07,19
2009-11-08 - 2009-11-14,15
2009-11-15 - 2009-11-21,18
2009-11-22 - 2009-11-28,15
2009-11-29 - 2009-12-05,18
2009-12-06 - 2009-12-12,20
2009-12-13 - 2009-12-19,16
2009-12-20 - 2009-12-26,17
2009-12-27 - 2010-01-02,16
2010-01-03 - 2010-01-09,16
2010-01-10 - 2010-01-16,18
2010-01-17 - 2010-01-23,18
2010-01-24 - 2010-01-30,17
2010-01-31 - 2010-02-06,15
2010-02-07 - 2010-02-13,19
2010-02-14 - 2010-02-20,18
2010-02-21 - 2010-02-27,17
2010-02-28 - 2010-03-06,18
2010-03-07 - 2010-03-13,19
2010-03-14 - 2010-03-20,19
2010-03-21 - 2010-03-27,18
2010-03-28 - 2010-04-03,19
2010-04-04 - 2010-04-10,18
2010-04-11 - 2010-04-17,17
2010-04-18 - 2010-04-24,19
2010-04-25 - 2010-05-01,18
2010-05-02 - 2010-05-08,19
2010-05-09 - 2010-05-15,18
2010-05-16 - 2010-05-22,18
2010-05-23 - 2010-05-29,20
2010-05-30 - 2010-06-05,15
2010-06-06 - 2010-06-12,16
2010-06-13 - 2010-06-19,16
2010-06-20 - 2010-06-26,16
2010-06-27 - 2010-07-03,16
2010-07-04 - 2010-07-10,16
2010-07-11 - 2010-07-17,17
2010-07-18 - 2010-07-24,15
2010-07-25 - 2010-07-31,17
2010-08-01 - 2010-08-07,18
2010-08-08 - 2010-08-14,18
2010-08-15 - 2010-08-21,17
2010-08-22 - 2010-08-28,16
2010-08-29 - 2010-09-04,15
2010-09-05 - 2010-09-11,16
2010-09-12 - 2010-09-18,15
2010-09-19 - 2010-09-25,15
2010-09-26 - 2010-10-02,17
2010-10-03 - 2010-10-09,16
2010-10-10 - 2010-10-16,16
2010-10-17 - 2010-10-23,16
2010-10-24 - 2010-10-30,17
2010-10-31 - 2010-11-06,18
2010-11-07 - 2010-11-13,17
2010-11-14 - 2010-11-20,16
2010-11-21 - 2010-11-27,13
2010-11-28 - 2010-12-04,18
2010-12-05 - 2010-12-11,16
2010-12-12 - 2010-12-18,15
2010-12-19 - 2010-12-25,17
2010-12-26 - 2011-01-01,16
2011-01-02 - 2011-01-08,15
2011-01-09 - 2011-01-15,16
2011-01-16 - 2011-01-22,15
2011-01-23 - 2011-01-29,16
2011-01-30 - 2011-02-05,16
2011-02-06 - 2011-02-12,19
2011-02-13 - 2011-02-19,18
2011-02-20 - 2011-02-26,17
2011-02-27 - 2011-03-05,15
2011-03-06 - 2011-03-12,17
2011-03-13 - 2011-03-19,16
2011-03-20 - 2011-03-26,16
2011-03-27 - 2011-04-02,17
2011-04-03 - 2011-04-09,17
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,17
2011-04-24 - 2011-04-30,18
2011-05-01 - 2011-05-07,18
2011-05-08 - 2011-05-14,17
2011-05-15 - 2011-05-21,17
2011-05-22 - 2011-05-28,21
2011-05-29 - 2011-06-04,20
2011-06-05 - 2011-06-11,18
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,17
2011-06-26 - 2011-07-02,16
2011-07-03 - 2011-07-09,17
2011-07-10 - 2011-07-16,19
2011-07-17 - 2011-07-23,17
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,20
2011-08-07 - 2011-08-13,20
2011-08-14 - 2011-08-20,18
2011-08-21 - 2011-08-27,17
2011-08-28 - 2011-09-03,16
2011-09-04 - 2011-09-10,17
2011-09-11 - 2011-09-17,17
2011-09-18 - 2011-09-24,17
2011-09-25 - 2011-10-01,16
2011-10-02 - 2011-10-08,17
2011-10-09 - 2011-10-15,17
2011-10-16 - 2011-10-22,16
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,18
2011-11-06 - 2011-11-12,16
2011-11-13 - 2011-11-19,17
2011-11-20 - 2011-11-26,18
2011-11-27 - 2011-12-03,17
2011-12-04 - 2011-12-10,19
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,17
2012-01-15 - 2012-01-21,17
2012-01-22 - 2012-01-28,19
2012-01-29 - 2012-02-04,20
2012-02-05 - 2012-02-11,18
2012-02-12 - 2012-02-18,18
2012-02-19 - 2012-02-25,20
2012-02-26 - 2012-03-03,17
2012-03-04 - 2012-03-10,18
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,18
2012-03-25 - 2012-03-31,16
2012-04-01 - 2012-04-07,25
2012-04-08 - 2012-04-14,17
2012-04-15 - 2012-04-21,20
2012-04-22 - 2012-04-28,18
2012-04-29 - 2012-05-05,19
2012-05-06 - 2012-05-12,16
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,17
2012-05-27 - 2012-06-02,17
2012-06-03 - 2012-06-09,18
2012-06-10 - 2012-06-16,17
2012-06-17 - 2012-06-23,17
2012-06-24 - 2012-06-30,16
2012-07-01 - 2012-07-07,17
2012-07-08 - 2012-07-14,17
2012-07-15 - 2012-07-21,18
2012-07-22 - 2012-07-28,16
2012-07-29 - 2012-08-04,16
2012-08-05 - 2012-08-11,18
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,21
2012-09-02 - 2012-09-08,18
2012-09-09 - 2012-09-15,19
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,20
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,18
2012-10-14 - 2012-10-20,17
2012-10-21 - 2012-10-27,17
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,19
2012-11-11 - 2012-11-17,19
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,16
2012-12-02 - 2012-12-08,18
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,16
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,17
2013-01-13 - 2013-01-19,20
2013-01-20 - 2013-01-26,20
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,17
2013-02-10 - 2013-02-16,18
2013-02-17 - 2013-02-23,16
2013-02-24 - 2013-03-02,17
2013-03-03 - 2013-03-09,17
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,17
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,18
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,18
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,15
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,16
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,19
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,24
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,22
2013-09-22 - 2013-09-28,23
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,23
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,22
2013-10-27 - 2013-11-02,23
2013-11-03 - 2013-11-09,21
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,22
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,25
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,30
2013-12-29 - 2014-01-04,26
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,29
2014-01-26 - 2014-02-01,26
2014-02-02 - 2014-02-08,30
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,55
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,37
2014-03-16 - 2014-03-22,47
2014-03-23 - 2014-03-29,38
2014-03-30 - 2014-04-05,28
2014-04-06 - 2014-04-12,31
2014-04-13 - 2014-04-19,31
2014-04-20 - 2014-04-26,30
2014-04-27 - 2014-05-03,36
2014-05-04 - 2014-05-10,28
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,28
2014-05-25 - 2014-05-31,27
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,27
2014-06-15 - 2014-06-21,25
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,33
2014-07-13 - 2014-07-19,37
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,32
2014-08-03 - 2014-08-09,33
2014-08-10 - 2014-08-16,31
2014-08-17 - 2014-08-23,32
2014-08-24 - 2014-08-30,40
2014-08-31 - 2014-09-06,66
2014-09-07 - 2014-09-13,100
2014-09-14 - 2014-09-20,81
2014-09-21 - 2014-09-27,63
2014-09-28 - 2014-10-04,61
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,48
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,37
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,35
2014-11-23 - 2014-11-29,28
2014-11-30 - 2014-12-06,27
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,29
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,35
2015-01-25 - 2015-01-31,27
2015-02-01 - 2015-02-07,25
2015-02-08 - 2015-02-14,25
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,27
2015-03-01 - 2015-03-07,24
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,22
2015-03-22 - 2015-03-28,25
2015-03-29 - 2015-04-04,23
2015-04-05 - 2015-04-11,30
2015-04-12 - 2015-04-18,39
2015-04-19 - 2015-04-25,35
2015-04-26 - 2015-05-02,31
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,26
