Web Search interest: lcs
Worldwide Sep-Oct 2013

Interest over time
Day,lcs
2013-09-01,99
2013-09-02,52
2013-09-03,28
2013-09-04,25
2013-09-05,22
2013-09-06,28
2013-09-07,27
2013-09-08,22
2013-09-09,19
2013-09-10,17
2013-09-11,18
2013-09-12,18
2013-09-13,28
2013-09-14,29
2013-09-15,82
2013-09-16,81
2013-09-17,68
2013-09-18,59
2013-09-19,44
2013-09-20,57
2013-09-21,94
2013-09-22,73
2013-09-23,72
2013-09-24,64
2013-09-25,58
2013-09-26,35
2013-09-27,35
2013-09-28,100
2013-09-29,44
2013-09-30,21
2013-10-01,17
2013-10-02,21
2013-10-03,22
2013-10-04,31
2013-10-05,73
2013-10-06,19
2013-10-07,19
2013-10-08,16
2013-10-09,16
2013-10-10,16
2013-10-11,14
2013-10-12,14
2013-10-13,14
2013-10-14,16
2013-10-15,14
2013-10-16,16
2013-10-17,14
2013-10-18,12
2013-10-19,14
2013-10-20,14
2013-10-21,13
2013-10-22,13
2013-10-23,10
2013-10-24,11
2013-10-25,10
2013-10-26,11
2013-10-27,13
2013-10-28,14
2013-10-29,12
2013-10-30,12
2013-10-31,11


Top regions for lcs
Region,lcs
France,100
Canada,66
Germany,39
United States,34
United Kingdom,24


Top cities for lcs
Town/City,lcs
Caen (France),100
Toronto (Canada),2
Sydney (Australia),1



Top searches for lcs
lol lcs,100
lcs league,55
gta lcs,45
lcs na,40
lcs 2013,40
lcs eu,30
lcs world,30
lcs youtube,25
lcs championship,25
twitch lcs,15
lcs world championship,15
lcs season 3,15
lcs stream,10
lcs worlds,10
gta lcs cheats,10
lcs final,10
lcs finals,10
leaguepedia,10
lcs wiki,10
leaguepedia lcs,5



Rising searches for lcs
lcs worlds,Breakout
lcs world championship,+350%
lcs championship,+250%
lcs world,+250%
lcs finals,+180%
lcs final,+120%
gta lcs cheats,+50%
lcs season 3,+50%
gta lcs,+40%



