Web Search interest: lol top
Worldwide Jan 2009 - Oct 2015

Interest over time
Week,lol top
2010-04-04 - 2010-04-10,7
2010-04-11 - 2010-04-17,6
2010-04-18 - 2010-04-24,6
2010-04-25 - 2010-05-01,6
2010-05-02 - 2010-05-08,7
2010-05-09 - 2010-05-15,8
2010-05-16 - 2010-05-22,8
2010-05-23 - 2010-05-29,7
2010-05-30 - 2010-06-05,8
2010-06-06 - 2010-06-12,8
2010-06-13 - 2010-06-19,9
2010-06-20 - 2010-06-26,7
2010-06-27 - 2010-07-03,7
2010-07-04 - 2010-07-10,7
2010-07-11 - 2010-07-17,9
2010-07-18 - 2010-07-24,8
2010-07-25 - 2010-07-31,7
2010-08-01 - 2010-08-07,7
2010-08-08 - 2010-08-14,7
2010-08-15 - 2010-08-21,7
2010-08-22 - 2010-08-28,8
2010-08-29 - 2010-09-04,9
2010-09-05 - 2010-09-11,10
2010-09-12 - 2010-09-18,6
2010-09-19 - 2010-09-25,5
2010-09-26 - 2010-10-02,8
2010-10-03 - 2010-10-09,6
2010-10-10 - 2010-10-16,6
2010-10-17 - 2010-10-23,6
2010-10-24 - 2010-10-30,5
2010-10-31 - 2010-11-06,5
2010-11-07 - 2010-11-13,6
2010-11-14 - 2010-11-20,6
2010-11-21 - 2010-11-27,8
2010-11-28 - 2010-12-04,6
2010-12-05 - 2010-12-11,6
2010-12-12 - 2010-12-18,8
2010-12-19 - 2010-12-25,8
2010-12-26 - 2011-01-01,6
2011-01-02 - 2011-01-08,7
2011-01-09 - 2011-01-15,6
2011-01-16 - 2011-01-22,6
2011-01-23 - 2011-01-29,7
2011-01-30 - 2011-02-05,5
2011-02-06 - 2011-02-12,6
2011-02-13 - 2011-02-19,6
2011-02-20 - 2011-02-26,7
2011-02-27 - 2011-03-05,6
2011-03-06 - 2011-03-12,7
2011-03-13 - 2011-03-19,6
2011-03-20 - 2011-03-26,8
2011-03-27 - 2011-04-02,10
2011-04-03 - 2011-04-09,7
2011-04-10 - 2011-04-16,10
2011-04-17 - 2011-04-23,8
2011-04-24 - 2011-04-30,7
2011-05-01 - 2011-05-07,9
2011-05-08 - 2011-05-14,8
2011-05-15 - 2011-05-21,8
2011-05-22 - 2011-05-28,10
2011-05-29 - 2011-06-04,9
2011-06-05 - 2011-06-11,8
2011-06-12 - 2011-06-18,9
2011-06-19 - 2011-06-25,11
2011-06-26 - 2011-07-02,11
2011-07-03 - 2011-07-09,11
2011-07-10 - 2011-07-16,9
2011-07-17 - 2011-07-23,11
2011-07-24 - 2011-07-30,11
2011-07-31 - 2011-08-06,12
2011-08-07 - 2011-08-13,13
2011-08-14 - 2011-08-20,13
2011-08-21 - 2011-08-27,12
2011-08-28 - 2011-09-03,12
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,14
2011-09-18 - 2011-09-24,14
2011-09-25 - 2011-10-01,12
2011-10-02 - 2011-10-08,12
2011-10-09 - 2011-10-15,14
2011-10-16 - 2011-10-22,13
2011-10-23 - 2011-10-29,12
2011-10-30 - 2011-11-05,15
2011-11-06 - 2011-11-12,15
2011-11-13 - 2011-11-19,16
2011-11-20 - 2011-11-26,16
2011-11-27 - 2011-12-03,14
2011-12-04 - 2011-12-10,17
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,15
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,20
2012-01-22 - 2012-01-28,17
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,22
2012-02-12 - 2012-02-18,22
2012-02-19 - 2012-02-25,21
2012-02-26 - 2012-03-03,22
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,20
2012-03-18 - 2012-03-24,23
2012-03-25 - 2012-03-31,26
2012-04-01 - 2012-04-07,26
2012-04-08 - 2012-04-14,31
2012-04-15 - 2012-04-21,29
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,25
2012-05-20 - 2012-05-26,26
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,28
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,33
2012-06-24 - 2012-06-30,30
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,32
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,38
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,39
2012-08-26 - 2012-09-01,33
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,35
2012-09-23 - 2012-09-29,31
2012-09-30 - 2012-10-06,36
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,40
2012-11-25 - 2012-12-01,44
2012-12-02 - 2012-12-08,46
2012-12-09 - 2012-12-15,46
2012-12-16 - 2012-12-22,47
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,44
2013-01-13 - 2013-01-19,52
2013-01-20 - 2013-01-26,45
2013-01-27 - 2013-02-02,50
2013-02-03 - 2013-02-09,52
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,46
2013-02-24 - 2013-03-02,47
2013-03-03 - 2013-03-09,49
2013-03-10 - 2013-03-16,48
2013-03-17 - 2013-03-23,48
2013-03-24 - 2013-03-30,53
2013-03-31 - 2013-04-06,55
2013-04-07 - 2013-04-13,54
2013-04-14 - 2013-04-20,55
2013-04-21 - 2013-04-27,54
2013-04-28 - 2013-05-04,54
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,56
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,62
2013-06-02 - 2013-06-08,59
2013-06-09 - 2013-06-15,58
2013-06-16 - 2013-06-22,65
2013-06-23 - 2013-06-29,65
2013-06-30 - 2013-07-06,66
2013-07-07 - 2013-07-13,70
2013-07-14 - 2013-07-20,73
2013-07-21 - 2013-07-27,69
2013-07-28 - 2013-08-03,71
2013-08-04 - 2013-08-10,75
2013-08-11 - 2013-08-17,74
2013-08-18 - 2013-08-24,76
2013-08-25 - 2013-08-31,75
2013-09-01 - 2013-09-07,70
2013-09-08 - 2013-09-14,73
2013-09-15 - 2013-09-21,67
2013-09-22 - 2013-09-28,66
2013-09-29 - 2013-10-05,73
2013-10-06 - 2013-10-12,71
2013-10-13 - 2013-10-19,77
2013-10-20 - 2013-10-26,73
2013-10-27 - 2013-11-02,71
2013-11-03 - 2013-11-09,67
2013-11-10 - 2013-11-16,72
2013-11-17 - 2013-11-23,66
2013-11-24 - 2013-11-30,69
2013-12-01 - 2013-12-07,64
2013-12-08 - 2013-12-14,67
2013-12-15 - 2013-12-21,69
2013-12-22 - 2013-12-28,79
2013-12-29 - 2014-01-04,78
2014-01-05 - 2014-01-11,67
2014-01-12 - 2014-01-18,73
2014-01-19 - 2014-01-25,73
2014-01-26 - 2014-02-01,76
2014-02-02 - 2014-02-08,74
2014-02-09 - 2014-02-15,68
2014-02-16 - 2014-02-22,67
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,69
2014-03-09 - 2014-03-15,65
2014-03-16 - 2014-03-22,69
2014-03-23 - 2014-03-29,71
2014-03-30 - 2014-04-05,60
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,71
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,74
2014-05-18 - 2014-05-24,74
2014-05-25 - 2014-05-31,71
2014-06-01 - 2014-06-07,71
2014-06-08 - 2014-06-14,77
2014-06-15 - 2014-06-21,68
2014-06-22 - 2014-06-28,69
2014-06-29 - 2014-07-05,76
2014-07-06 - 2014-07-12,75
2014-07-13 - 2014-07-19,74
2014-07-20 - 2014-07-26,85
2014-07-27 - 2014-08-02,86
2014-08-03 - 2014-08-09,90
2014-08-10 - 2014-08-16,87
2014-08-17 - 2014-08-23,78
2014-08-24 - 2014-08-30,83
2014-08-31 - 2014-09-06,83
2014-09-07 - 2014-09-13,66
2014-09-14 - 2014-09-20,80
2014-09-21 - 2014-09-27,79
2014-09-28 - 2014-10-04,79
2014-10-05 - 2014-10-11,74
2014-10-12 - 2014-10-18,70
2014-10-19 - 2014-10-25,73
2014-10-26 - 2014-11-01,65
2014-11-02 - 2014-11-08,66
2014-11-09 - 2014-11-15,67
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,66
2014-11-30 - 2014-12-06,60
2014-12-07 - 2014-12-13,63
2014-12-14 - 2014-12-20,60
2014-12-21 - 2014-12-27,69
2014-12-28 - 2015-01-03,71
2015-01-04 - 2015-01-10,57
2015-01-11 - 2015-01-17,65
2015-01-18 - 2015-01-24,73
2015-01-25 - 2015-01-31,76
2015-02-01 - 2015-02-07,71
2015-02-08 - 2015-02-14,68
2015-02-15 - 2015-02-21,76
2015-02-22 - 2015-02-28,68
2015-03-01 - 2015-03-07,67
2015-03-08 - 2015-03-14,69
2015-03-15 - 2015-03-21,67
2015-03-22 - 2015-03-28,67
2015-03-29 - 2015-04-04,66
2015-04-05 - 2015-04-11,64
2015-04-12 - 2015-04-18,61
2015-04-19 - 2015-04-25,65
2015-04-26 - 2015-05-02,66
2015-05-03 - 2015-05-09,65
2015-05-10 - 2015-05-16,63
2015-05-17 - 2015-05-23,64
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,64
2015-06-07 - 2015-06-13,64
2015-06-14 - 2015-06-20,61
2015-06-21 - 2015-06-27,68
2015-06-28 - 2015-07-04,73
2015-07-05 - 2015-07-11,70
2015-07-12 - 2015-07-18,72
2015-07-19 - 2015-07-25,68
2015-07-26 - 2015-08-01,66
2015-08-02 - 2015-08-08,62
2015-08-09 - 2015-08-15,66
2015-08-16 - 2015-08-22,67
2015-08-23 - 2015-08-29,62
2015-08-30 - 2015-09-05,60
2015-09-06 - 2015-09-12,59
2015-09-13 - 2015-09-19,59
2015-09-20 - 2015-09-26,67
2015-09-27 - 2015-10-03,100
2015-10-04 - 2015-10-10,70
2015-10-11 - 2015-10-17,66
2015-10-18 - 2015-10-24,62
2015-10-25 - 2015-10-31,59


Top regions for lol top
Region,lol top
Vietnam,100
Greece,88
Hong Kong,78
Philippines,75
Chile,72
Portugal,65
Singapore,64
New Zealand,60
France,57
Romania,55
Denmark,50
Sweden,45
Taiwan,45
Australia,42
Poland,41
Canada,41
Argentina,38
Belgium,38
Spain,36
Brazil,35
Netherlands,27
Germany,27
Turkey,21
United States,21
Colombia,20
United Kingdom,19
Mexico,16
Thailand,16
Italy,13
Japan,6


Top cities for lol top
Town/City,lol top
Hanoi (Vietnam),100
Quezon City (Philippines),80
Athens (Greece),67
Ho Chi Minh City (Vietnam),59
Singapore (Singapore),58
Lyon (France),52
Sydney (Australia),49
Santiago (Chile),46
Melbourne (Australia),46
Barcelona (Spain),33
Buenos Aires (Argentina),29
Montréal (Canada),29
Toronto (Canada),29
Paris (France),29
Warsaw (Poland),23



Top searches for lol top
lol build,100
solo top,70
lol solo top,70
lol top 10,65
lol best top,65
top lol champions,65
lol champions,65
lol top lane,60
top lane,60
lol counter,50
top tier lol,50
top tier,50
lol top 5,40
lol top champion,30
lol pro,25
lol jax top,20
jax top,20
top adc lol,20
lol riven top,15
riven top,15
top champs lol,15
top en lol,15
lol top players,15
tier list lol,15
lol top laners,15
nasus top,15
garen top,15
lol garen top,15
top lol skins,15
lee sin top,10
top plays lol,10
teemo top,10
top 20 lol,10
top lane champions,10
lol counters,10
top player lol,10
lol ryze top,10
zed top,10
best lol champion,10



Rising searches for lol top
lol build,Breakout
lol champions,Breakout
lol counter,Breakout
lol solo top,Breakout
lol top 5,Breakout
lol top champion,Breakout
lol top lane,Breakout
solo top,Breakout
top lane,Breakout
top lol champions,Breakout



