Web Search interest: lol top
Worldwide Mar-Apr 2014

Interest over time
Day,lol top
2014-03-01,93
2014-03-02,89
2014-03-03,71
2014-03-04,73
2014-03-05,69
2014-03-06,65
2014-03-07,82
2014-03-08,92
2014-03-09,83
2014-03-10,53
2014-03-11,62
2014-03-12,70
2014-03-13,71
2014-03-14,64
2014-03-15,79
2014-03-16,88
2014-03-17,72
2014-03-18,63
2014-03-19,64
2014-03-20,59
2014-03-21,70
2014-03-22,99
2014-03-23,94
2014-03-24,66
2014-03-25,65
2014-03-26,64
2014-03-27,67
2014-03-28,69
2014-03-29,89
2014-03-30,92
2014-03-31,66
2014-04-01,51
2014-04-02,47
2014-04-03,55
2014-04-04,65
2014-04-05,92
2014-04-06,75
2014-04-07,62
2014-04-08,55
2014-04-09,61
2014-04-10,60
2014-04-11,61
2014-04-12,81
2014-04-13,81
2014-04-14,64
2014-04-15,67
2014-04-16,59
2014-04-17,72
2014-04-18,67
2014-04-19,99
2014-04-20,100
2014-04-21,85
2014-04-22,67
2014-04-23,70
2014-04-24,62
2014-04-25,73
2014-04-26,90
2014-04-27,93
2014-04-28,67
2014-04-29,65
2014-04-30,64


Top regions for lol top
Region,lol top
United States,100





Top searches for lol top
lol top champions,100
lol counter,95
lol top tier,75
lol pro,60
lol top 5,45






