Web Search interest: lol mid
Worldwide Jan 2009 - Oct 2015

Interest over time
Week,lol mid
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,0
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,8
2011-06-19 - 2011-06-25,11
2011-06-26 - 2011-07-02,8
2011-07-03 - 2011-07-09,8
2011-07-10 - 2011-07-16,8
2011-07-17 - 2011-07-23,8
2011-07-24 - 2011-07-30,9
2011-07-31 - 2011-08-06,10
2011-08-07 - 2011-08-13,9
2011-08-14 - 2011-08-20,10
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,11
2011-09-04 - 2011-09-10,9
2011-09-11 - 2011-09-17,12
2011-09-18 - 2011-09-24,9
2011-09-25 - 2011-10-01,8
2011-10-02 - 2011-10-08,11
2011-10-09 - 2011-10-15,14
2011-10-16 - 2011-10-22,8
2011-10-23 - 2011-10-29,7
2011-10-30 - 2011-11-05,12
2011-11-06 - 2011-11-12,11
2011-11-13 - 2011-11-19,9
2011-11-20 - 2011-11-26,13
2011-11-27 - 2011-12-03,11
2011-12-04 - 2011-12-10,10
2011-12-11 - 2011-12-17,10
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,11
2012-01-01 - 2012-01-07,14
2012-01-08 - 2012-01-14,12
2012-01-15 - 2012-01-21,13
2012-01-22 - 2012-01-28,15
2012-01-29 - 2012-02-04,14
2012-02-05 - 2012-02-11,13
2012-02-12 - 2012-02-18,14
2012-02-19 - 2012-02-25,20
2012-02-26 - 2012-03-03,14
2012-03-04 - 2012-03-10,17
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,15
2012-03-25 - 2012-03-31,16
2012-04-01 - 2012-04-07,19
2012-04-08 - 2012-04-14,21
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,20
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,18
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,18
2012-06-03 - 2012-06-09,19
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,19
2012-06-24 - 2012-06-30,23
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,22
2012-07-15 - 2012-07-21,35
2012-07-22 - 2012-07-28,20
2012-07-29 - 2012-08-04,25
2012-08-05 - 2012-08-11,31
2012-08-12 - 2012-08-18,48
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,25
2012-09-09 - 2012-09-15,31
2012-09-16 - 2012-09-22,28
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,36
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,33
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,37
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,45
2012-12-09 - 2012-12-15,37
2012-12-16 - 2012-12-22,41
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,40
2013-01-27 - 2013-02-02,49
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,46
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,42
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,46
2013-03-24 - 2013-03-30,46
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,45
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,43
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,46
2013-05-26 - 2013-06-01,51
2013-06-02 - 2013-06-08,53
2013-06-09 - 2013-06-15,53
2013-06-16 - 2013-06-22,56
2013-06-23 - 2013-06-29,57
2013-06-30 - 2013-07-06,56
2013-07-07 - 2013-07-13,62
2013-07-14 - 2013-07-20,58
2013-07-21 - 2013-07-27,59
2013-07-28 - 2013-08-03,61
2013-08-04 - 2013-08-10,64
2013-08-11 - 2013-08-17,63
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,67
2013-09-01 - 2013-09-07,55
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,64
2013-09-22 - 2013-09-28,69
2013-09-29 - 2013-10-05,58
2013-10-06 - 2013-10-12,64
2013-10-13 - 2013-10-19,64
2013-10-20 - 2013-10-26,62
2013-10-27 - 2013-11-02,59
2013-11-03 - 2013-11-09,58
2013-11-10 - 2013-11-16,59
2013-11-17 - 2013-11-23,68
2013-11-24 - 2013-11-30,61
2013-12-01 - 2013-12-07,58
2013-12-08 - 2013-12-14,57
2013-12-15 - 2013-12-21,58
2013-12-22 - 2013-12-28,67
2013-12-29 - 2014-01-04,65
2014-01-05 - 2014-01-11,58
2014-01-12 - 2014-01-18,65
2014-01-19 - 2014-01-25,65
2014-01-26 - 2014-02-01,66
2014-02-02 - 2014-02-08,65
2014-02-09 - 2014-02-15,62
2014-02-16 - 2014-02-22,64
2014-02-23 - 2014-03-01,55
2014-03-02 - 2014-03-08,61
2014-03-09 - 2014-03-15,61
2014-03-16 - 2014-03-22,61
2014-03-23 - 2014-03-29,60
2014-03-30 - 2014-04-05,45
2014-04-06 - 2014-04-12,52
2014-04-13 - 2014-04-19,61
2014-04-20 - 2014-04-26,62
2014-04-27 - 2014-05-03,66
2014-05-04 - 2014-05-10,60
2014-05-11 - 2014-05-17,65
2014-05-18 - 2014-05-24,61
2014-05-25 - 2014-05-31,66
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,60
2014-06-15 - 2014-06-21,60
2014-06-22 - 2014-06-28,60
2014-06-29 - 2014-07-05,57
2014-07-06 - 2014-07-12,61
2014-07-13 - 2014-07-19,64
2014-07-20 - 2014-07-26,64
2014-07-27 - 2014-08-02,68
2014-08-03 - 2014-08-09,66
2014-08-10 - 2014-08-16,70
2014-08-17 - 2014-08-23,61
2014-08-24 - 2014-08-30,66
2014-08-31 - 2014-09-06,68
2014-09-07 - 2014-09-13,61
2014-09-14 - 2014-09-20,61
2014-09-21 - 2014-09-27,62
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,57
2014-10-12 - 2014-10-18,62
2014-10-19 - 2014-10-25,63
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,48
2014-11-09 - 2014-11-15,48
2014-11-16 - 2014-11-22,53
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,45
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,48
2014-12-21 - 2014-12-27,51
2014-12-28 - 2015-01-03,52
2015-01-04 - 2015-01-10,44
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,58
2015-01-25 - 2015-01-31,59
2015-02-01 - 2015-02-07,57
2015-02-08 - 2015-02-14,52
2015-02-15 - 2015-02-21,58
2015-02-22 - 2015-02-28,53
2015-03-01 - 2015-03-07,55
2015-03-08 - 2015-03-14,60
2015-03-15 - 2015-03-21,55
2015-03-22 - 2015-03-28,50
2015-03-29 - 2015-04-04,52
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,48
2015-04-19 - 2015-04-25,61
2015-04-26 - 2015-05-02,61
2015-05-03 - 2015-05-09,100
2015-05-10 - 2015-05-16,85
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,50
2015-05-31 - 2015-06-06,49
2015-06-07 - 2015-06-13,51
2015-06-14 - 2015-06-20,51
2015-06-21 - 2015-06-27,56
2015-06-28 - 2015-07-04,60
2015-07-05 - 2015-07-11,73
2015-07-12 - 2015-07-18,60
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,55
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,53
2015-08-16 - 2015-08-22,56
2015-08-23 - 2015-08-29,56
2015-08-30 - 2015-09-05,51
2015-09-06 - 2015-09-12,47
2015-09-13 - 2015-09-19,55
2015-09-20 - 2015-09-26,50
2015-09-27 - 2015-10-03,55
2015-10-04 - 2015-10-10,53
2015-10-11 - 2015-10-17,56
2015-10-18 - 2015-10-24,49
2015-10-25 - 2015-10-31,45


Top regions for lol mid
Region,lol mid
Chile,100
Vietnam,97
France,62
Brazil,55
Argentina,55
Poland,52
Turkey,48
Spain,45
Canada,43
Australia,40
Germany,34
Netherlands,30
United States,23
Italy,20
Mexico,20
United Kingdom,16
Japan,13


Top cities for lol mid
Town/City,lol mid
Hanoi (Vietnam),100
Santiago (Chile),64
Ho Chi Minh City (Vietnam),59
Athens (Greece),59
Singapore (Singapore),53
Sydney (Australia),51
Istanbul (Turkey),43
Buenos Aires (Argentina),43
Melbourne (Australia),40
Barcelona (Spain),37
Ankara (Turkey),37
Paris (France),30
Warsaw (Poland),26
Toronto (Canada),25
Madrid (Spain),18



Top searches for lol mid
top mid lol,100
solo mid lol,90
solo mid,85
best mid lol,80
lol counter,75
counter mid lol,75
mid lane,65
mid lane lol,65
lol guide,60
lol mid guide,60
mid champions,50
mid champions lol,50
lol champions,50
lol pro,40
champion mid lol,35
adc lol,30
lol tier,25
zed mid,25
katarina mid,25
katarina lol,25
annie mid,25
annie lol,25
lol annie mid,25
team solo mid,25
ahri mid,20
mid skin lol,20
lol fizz mid,20
mid champs lol,20
lol akali mid,20
lux mid,20
akali mid,20
diana lol,20
diana mid,20
lol diana mid,20
lol mid laners,20
yasuo mid,20
lol yasuo mid,20
lol tier list,15
talon mid,15
lol mid runes,15
lol kayle mid,15
lol talon mid,15
kayle mid,15
ezreal mid,15
lol ezreal mid,15
lol mid champ,15
lol counters,15
lol morgana mid,15
morgana mid,15



Rising searches for lol mid
best mid lol,Breakout
counter mid lol,Breakout
lol champions,Breakout
lol counter,Breakout
lol guide,Breakout
lol mid guide,Breakout
mid champions,Breakout
mid champions lol,Breakout
mid lane,Breakout
mid lane lol,Breakout



