Web Search interest: blizzard overwatch
Worldwide Jan-Feb 2015

Interest over time
Day,blizzard overwatch
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,90
2015-01-10,91
2015-01-11,93
2015-01-12,86
2015-01-13,84
2015-01-14,92
2015-01-15,94
2015-01-16,96
2015-01-17,98
2015-01-18,100
2015-01-19,86
2015-01-20,86
2015-01-21,79
2015-01-22,82
2015-01-23,85
2015-01-24,89
2015-01-25,92
2015-01-26,97
2015-01-27,90
2015-01-28,86
2015-01-29,86
2015-01-30,89
2015-01-31,92
2015-02-01,94
2015-02-02,97
2015-02-03,100
2015-02-04,94
2015-02-05,94
2015-02-06,81
2015-02-07,92
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0









